id,機種名,変更日,変更内容,変更内容詳細,評価内容,評価内容詳細,評価結果
CP-074,NE-FS3A,2023-11-20,ドアスイッチ(インターロック)の供給元変更,ドア開閉検知のインターロックスイッチを供給元変更。安全上重要な部品であり、動作タイミングと耐久性の厳格な確認が必要。,インターロック動作・開閉耐久・安全規格適合評価,ドア開時のマイクロ波遮断タイミング測定、スイッチ単体および実機での開閉耐久試験、モニタースイッチとの協調動作(短絡保護)の確認を実施。,合格
CP-075,NE-FS3A,2024-11-12,インバーター基板の電解コンデンサ供給元変更,シリーズ共通の複数購買化施策として第二供給元品を追加。単機能機の基板は小型のため個別に温度確認を実施。,温度上昇・電気性能評価,連続レンジ運転でのコンデンサ温度上昇実測と、リップル電流の定格内確認を実施。寿命データはシリーズ共通評価を流用。,合格
CP-076,NE-FS3A,2024-08-27,外装鋼板の板厚変更(コストダウン),外装キャビネットの鋼板板厚を薄板化するコストダウン施策。剛性低下による振動音とへこみ耐性の確認が必要。,筐体剛性・振動騒音・輸送耐久評価,天面押し込みへこみ試験、運転時のパネル共振による異音確認、輸送振動・落下試験での変形確認を実施。天面の局部へこみ耐性が限度基準ぎりぎりのため天面のみ補強リブを追加して合格。,条件付き合格
CP-077,NE-FS3A,2023-06-28,設置脚ゴムの材質変更(横展開),シリーズ共通の非移行性エラストマー脚ゴムを本機種へ展開。本体質量が軽いため滑り止め性能の確認が必要。,滑り止め性能・非移行性評価,ドア開閉反力による本体移動量の測定、各種設置面での色移り確認を実施。共通評価データを流用し機種固有条件のみ確認。,合格
CP-078,NE-FS3A,2024-02-27,梱包緩衝材のパルプモールドへの変更(横展開),シリーズ共通の脱プラスチック施策。軽量機のため緩衝材の共通型を使用し、詰め物構成のみ機種別調整。,輸送振動・落下試験評価,JIS準拠の輸送振動・落下試験を実施し、外装変形・ドアずれ・動作異常の有無を確認。,合格
CP-079,NE-FS3A,2023-08-30,定格銘板のレーザー刻印化(横展開),シリーズ共通施策として銘板をレーザー刻印へ変更。本機種の背面材質での刻印コントラスト確認が必要。,法定表示適合・視認性確認(差分評価),本機種背面塗装での刻印視認性確認と法定表示要件の適合確認を実施。共通評価データを流用。,合格
CP-080,NE-FS3A,2023-07-26,庫内灯のLED化(横展開),シリーズ共通施策として庫内照明をLED化。単機能機はオーブン機能がなく庫内温度条件が緩いため、差分評価方式で実施。,照度・寿命確認(差分評価),庫内照度の新旧比較と、レンジ運転環境での温度実測によるLED寿命推定を実施。高温耐久データはシリーズ共通評価を流用。,合格
CP-081,NE-FL1A,2024-05-14,マグネトロンの供給元変更(生産終了対応),現行マグネトロンのEOLに伴い後継供給元品へ変更。初回評価で低電圧環境の起動特性に問題が判明し対策を実施。,起動特性・加熱性能・マイクロ波漏洩評価,低電圧環境での起動試験にて発振立ち上がり遅れと異常音を検出し不合格判定。駆動回路の起動シーケンス調整とフィラメント予熱時間の変更で対策し、再評価にて全項目合格を確認。,不合格(対策後合格)
CP-082,NE-FL1A,2024-03-28,ドアスイッチ(インターロック)の供給元変更(横展開),NE-FS3Aで採用した新供給元インターロックスイッチを本機種へ横展開。ドアラッチ構造が異なるため動作タイミングの個別確認が必要。,インターロック動作・開閉耐久評価,本機種ラッチ構造でのマイクロ波遮断タイミング測定、実機開閉耐久試験、モニタースイッチ協調動作の確認を実施。,合格
CP-083,NE-FL1A,2023-09-13,操作部のメンブレンスイッチからタクトスイッチへの変更,操作部をメンブレンスイッチからタクトスイッチ+化粧シートの構成へ変更。押し感の明確化とメンブレン断線不良の低減を狙う。,押下耐久・操作フィーリング・防水性評価,スイッチ押下耐久試験、操作感の官能評価、化粧シート目地部からの水滴侵入試験を実施。,合格
CP-084,NE-FL1A,2023-12-12,制御基板のリレー変更,ヒーター系切替リレーを現行品EOLにより後継品へ変更。接点材質が異なるため開閉耐久と接点溶着の確認が必要。,リレー開閉耐久・接点信頼性評価,定格負荷での開閉耐久試験、突入電流条件での接点溶着確認、耐久後の接触抵抗測定を実施。,合格
CP-085,NE-FL1A,2024-02-19,高圧トランスの巻線仕様変更,高圧トランスの巻線を銅線からアルミ線併用仕様へ変更するコストダウン施策。温度上昇と効率の確認が必要。,温度上昇・出力特性・絶縁評価,連続運転時のトランス温度上昇測定、高周波出力の電源電圧依存性確認、絶縁耐圧試験と巻線間絶縁抵抗の測定を実施。,合格
CP-086,NE-FL1A,2023-06-21,筐体塗装の水性塗料への変更,外装塗装を溶剤系から水性塗料へ変更するVOC削減施策。塗膜硬度と耐食性の同等性確認が必要。,塗膜硬度・耐食性・外観評価,鉛筆硬度試験と碁盤目密着性試験、塩水噴霧試験、恒温恒湿保存後の外観変化確認を実施。,合格
CP-087,NE-FL1A,2024-04-16,ドアヒンジ部の樹脂ブッシュ追加,ドア開閉時の金属摺動音対策としてヒンジ部に樹脂ブッシュを追加(NE-BS6A対策の横展開)。横開きドアのため摺動条件が異なる。,ドア開閉耐久・異音評価,横開きドアでの開閉10万回耐久試験、耐久前後の開閉音官能評価、ブッシュ摩耗量の測定を実施。,合格
CP-088,NE-FL1A,2024-05-22,梱包緩衝材のパルプモールドへの変更(横展開),シリーズ共通の脱プラスチック施策を単機能機へ展開。通販主力機種のため個別宅配想定の追加試験を実施。,輸送振動・多面落下試験評価,JIS準拠試験に加え通販物流想定の多面落下試験を実施し、ドアガラス割れ・庫内プレート割れの有無を重点確認。,合格
CP-089,NE-FL1A,2023-03-17,電源プラグのトラッキング対策形状への変更,全社共通施策として絶縁スリーブ付きプラグへ変更。共通評価データを流用し機種固有部のみ確認。,コード引張強度確認(差分評価),本機種コードブッシュでの引張・屈曲試験を実施。コードセット単体の適合は共通データを流用。,合格
CP-090,NE-FL1A,2024-04-02,ヒューズホルダーの変更,電源基板のヒューズホルダーを基板実装型からリード線接続型へ変更し、市場サービス時の交換性を改善。接触信頼性の確認が必要。,接触抵抗・温度上昇・振動耐久評価,ホルダー接触抵抗の測定と定格電流通電時の温度上昇確認、輸送振動後のヒューズ保持力確認を実施。,合格
CP-091,NE-FL222,2024-08-06,マグネトロンの供給元変更(生産終了対応),現行マグネトロンのEOLに伴い後継供給元品へ変更(NE-FL1Aと共通部品)。NE-FL1Aでの起動特性対策を反映済みの駆動条件で評価。,起動特性・加熱性能・マイクロ波漏洩評価,NE-FL1Aで対策済みの起動シーケンスを適用し、低電圧起動試験・定格出力測定・マイクロ波漏洩測定を実施。対策の横展開有効性を確認。,合格
CP-092,NE-FL222,2024-01-17,庫内底面プレートの材質変更(横展開),NE-FS3Aで採用したセラミック底面プレートを本機種へ横展開。庫内寸法が異なるためプレート支持構造の適合確認が必要。,耐衝撃・支持部強度・加熱性能評価,プレート落下衝撃試験と支持リブの強度確認、本機種庫内での加熱ムラ測定を実施。,合格
CP-093,NE-FL222,2024-06-25,ドアスイッチ(インターロック)の供給元変更(横展開),シリーズ共通化施策として新供給元インターロックスイッチを適用。本機種のドアラッチでの動作確認を実施。,インターロック動作・開閉耐久評価,マイクロ波遮断タイミング測定と開閉耐久試験、モニタースイッチ協調動作の確認を実施。シリーズ共通データを併用。,合格
CP-094,NE-FL222,2024-09-17,高圧コンデンサの供給元変更,高圧回路のコンデンサを供給元変更。初回評価で高温環境での容量低下が規格を外れ、耐熱グレードの見直しを実施。,高温特性・絶縁耐圧・寿命評価,高温環境での静電容量変化測定で規格外れを検出し不合格判定。耐熱グレード上位品への変更後、絶縁耐圧試験・高温負荷寿命試験を再実施し合格を確認。,不合格(対策後合格)
CP-095,NE-FL222,2024-06-18,センサー制御ソフトの判定調整,自動あたための湿度センサー判定しきい値を調整し、ラップ有無による仕上がり差を低減。単機能機向け簡易ロジックの改良。,自動あたため性能・ソフト回帰テスト,ラップ有り/無しの代表食品での仕上がり温度比較、手動運転を含む全モードの回帰テストを実施。,合格
CP-096,NE-FL222,2024-05-28,外装鋼板の供給元変更,外装用プレコート鋼板の供給元を変更。塗膜の色調と加工性の同等性確認が必要。,色調・加工性・耐食性評価,限度見本による色調確認、曲げ加工部の塗膜割れ確認、塩水噴霧試験による耐食性比較を実施。,合格
CP-097,NE-FL222,2024-09-03,ドアヒンジ部の樹脂ブッシュ追加(横展開),NE-FL1Aで実施した金属摺動音対策を本機種へ横展開。ヒンジ形状は共通のため差分評価方式で実施。,ドア開閉耐久・異音確認(差分評価),本機種ドア質量での開閉耐久試験を実施し、NE-FL1A評価データとの整合を確認。異音官能評価を実施。,合格
CP-098,NE-FL222,2024-07-30,梱包緩衝材のパルプモールドへの変更(横展開),シリーズ共通の脱プラスチック施策。NE-FL1Aと共通の緩衝材型を使用するため、本体寸法差の吸収方法を確認。,輸送振動・落下試験評価(差分評価),共通緩衝材での本機種の保持ガタ確認と、JIS準拠の落下試験を実施。NE-FL1A評価データを併用。,合格
CP-099,NE-FL222,2023-12-19,定格銘板のレーザー刻印化(横展開),シリーズ共通施策として銘板をレーザー刻印へ変更。本機種は輸出仕様が併売されるため表示内容の仕向け別確認を実施。,法定表示適合・仕向け別表示確認,国内向け電安法表示の適合確認に加え、仕向け別の定格表示・認証マークの刻印データ照合を実施。,合格
CP-100,NE-FL222,2023-06-09,電源プラグのトラッキング対策形状への変更,全社共通施策として絶縁スリーブ付きプラグへ変更。シリーズ最後の適用機種であり、共通評価データを流用。,コード引張強度確認(差分評価),本機種コードブッシュでの引張・屈曲試験のみ実施し、コードセット単体適合は共通評価データを流用。,合格
